Iteration,Valerror
0,1.1292701
1,1.1272525
2,1.1252747
3,1.12332
4,1.1213653
5,1.1193807
6,1.1173357
7,1.1152048
8,1.1129671
9,1.1106048
10,1.1081014
11,1.105445
12,1.1026276
13,1.0996469
14,1.0965078
15,1.0932236
16,1.0898162
17,1.0863147
18,1.0827535
19,1.0791684
20,1.0755926
21,1.0720533
22,1.0685697
23,1.0651519
24,1.061804
25,1.0585259
26,1.0553161
27,1.0521746
28,1.049103
29,1.0461044
30,1.043183
31,1.0403426
32,1.0375862
33,1.0349162
34,1.0323331
35,1.0298362
36,1.0274236
37,1.0250925
38,1.0228392
39,1.02066
40,1.0185508
41,1.0165075
42,1.0145261
43,1.0126032
44,1.0107352
45,1.0089192
46,1.0071526
47,1.0054328
48,1.0037581
49,1.0021265
50,1.0005364
51,0.9989866
52,0.9974759
53,0.99600315
54,0.9945674
55,0.9931678
56,0.9918035
57,0.99047387
58,0.98917794
59,0.98791516
60,0.98668486
61,0.98548627
62,0.9843189
63,0.9831821
64,0.9820753
65,0.9809977
66,0.9799489
67,0.9789283
68,0.9779353
69,0.97696936
70,0.97603
71,0.97511667
72,0.9742287
73,0.9733657
74,0.97252727
75,0.9717127
76,0.97092164
77,0.9701536
78,0.96940815
79,0.9686847
80,0.9679829
81,0.9673023
82,0.9666425
83,0.9660029
84,0.96538323
85,0.9647831
86,0.9642019
87,0.96363956
88,0.9630953
89,0.962569
90,0.9620602
91,0.9615685
92,0.9610935
93,0.9606349
94,0.9601922
95,0.95976514
96,0.9593534
97,0.9589566
98,0.95857424
99,0.9582062
100,0.9578521
101,0.9575115
102,0.95718414
103,0.95686966
104,0.9565678
105,0.95627815
106,0.9560005
107,0.95573455
108,0.95547986
109,0.9552363
110,0.9550035
111,0.9547811
112,0.9545689
113,0.9543666
114,0.9541739
115,0.95399064
116,0.9538165
117,0.9536511
118,0.9534942
119,0.95334566
120,0.95320517
121,0.9530724
122,0.9529474
123,0.95282954
124,0.9527188
125,0.9526151
126,0.9525178
127,0.9524271
128,0.95234245
129,0.95226383
130,0.95219105
131,0.9521238
132,0.9520619
133,0.95200527
134,0.9519536
135,0.9519067
136,0.9518644
137,0.9518265
138,0.9517929
139,0.9517634
140,0.9517379
141,0.951716
142,0.9516978
143,0.951683
144,0.9516716
145,0.95166326
146,0.95165795
147,0.9516555
148,0.95165575
149,0.95165867
150,0.951664
151,0.95167166
152,0.9516815
153,0.95169353
154,0.9517076
155,0.95172346
156,0.9517411
157,0.9517605
158,0.95178133
159,0.9518037
160,0.95182747
161,0.95185244
162,0.95187867
163,0.951906
164,0.9519344
165,0.9519638
166,0.95199406
167,0.952025
168,0.95205677
169,0.9520892
170,0.9521222
171,0.95215577
172,0.9521898
173,0.95222425
174,0.95225906
175,0.95229423
176,0.95232964
177,0.9523652
178,0.95240104
179,0.952437
180,0.9524729
181,0.95250905
182,0.9525451
183,0.95258105
184,0.95261705
185,0.95265293
186,0.9526887
187,0.9527243
188,0.9527597
189,0.95279485
190,0.95282984
191,0.9528645
192,0.952899
193,0.95293313
194,0.952967
195,0.9530005
196,0.9530337
197,0.9530664
198,0.95309883
199,0.95313084
200,0.9531625
201,0.95319366
202,0.9532245
203,0.9532548
204,0.9532848
205,0.9533143
206,0.9533434
207,0.95337194
208,0.9534
209,0.95342773
210,0.9534549
211,0.9534817
212,0.95350796
213,0.95353377
214,0.95355904
215,0.95358384
216,0.9536083
217,0.95363224
218,0.9536556
219,0.95367855
220,0.95370114
221,0.95372313
222,0.9537448
223,0.9537659
224,0.9537866
225,0.9538069
226,0.95382667
227,0.95384604
228,0.95386493
229,0.95388335
230,0.95390147
231,0.9539191
232,0.95393634
233,0.95395315
234,0.95396954
235,0.9539855
236,0.9540011
237,0.9540164
238,0.9540312
239,0.95404565
240,0.95405984
241,0.95407355
242,0.9540869
243,0.9541
244,0.95411265
245,0.95412505
246,0.9541371
247,0.95414877
248,0.95416015
249,0.95417124
250,0.954182
251,0.9541924
252,0.9542026
253,0.9542125
254,0.95422214
255,0.9542314
256,0.95424044
257,0.95424926
258,0.9542578
259,0.9542661
260,0.9542741
261,0.95428187
262,0.95428944
263,0.9542968
264,0.9543039
265,0.95431083
266,0.9543175
267,0.95432395
268,0.95433015
269,0.9543363
270,0.9543422
271,0.95434785
272,0.95435333
273,0.9543587
274,0.9543639
275,0.9543688
276,0.95437366
277,0.9543784
278,0.95438296
279,0.9543873
280,0.95439154
281,0.95439565
282,0.9543996
283,0.9544034
284,0.9544071
285,0.95441055
286,0.95441407
287,0.9544174
288,0.95442057
289,0.95442367
290,0.95442665
291,0.95442957
292,0.95443237
293,0.954435
294,0.95443755
