Iteration,Valerror
0,1.0231078
1,1.0197555
2,1.01665
3,1.0137873
4,1.0111645
5,1.0087775
6,1.0066189
7,1.0046791
8,1.002946
9,1.0014036
10,1.0000329
11,0.99881095
12,0.9977106
13,0.9966998
14,0.9957412
15,0.9947905
16,0.9937978
17,0.9927067
18,0.991456
19,0.9899801
20,0.98821056
21,0.9860761
22,0.98350346
23,0.98041725
24,0.976741
25,0.97239745
26,0.9673107
27,0.9614102
28,0.95463806
29,0.946959
30,0.93837035
31,0.9289037
32,0.91862
33,0.9075957
34,0.8958883
35,0.8834877
36,0.8702886
37,0.85611755
38,0.8408187
39,0.82436365
40,0.8069541
41,0.78907853
42,0.771481
43,0.75501716
44,0.74040043
45,0.7279223
46,0.7173962
47,0.7084376
48,0.70078206
49,0.69438916
50,0.6893552
51,0.6857503
52,0.68348527
53,0.68229836
54,0.68187577
55,0.68199545
56,0.68257594
57,0.68361384
58,0.68508327
59,0.6868607
60,0.68870544
61,0.6902935
62,0.6912852
63,0.69139725
64,0.69045556
65,0.6884142
66,0.6853432
67,0.68139714
68,0.6767801
69,0.67171746
70,0.66644114
71,0.66118574
72,0.6561867
73,0.6516726
74,0.64784473
75,0.6448497
76,0.64275527
77,0.6415418
78,0.64111525
79,0.6413375
80,0.64206076
81,0.64315206
82,0.64449835
83,0.64599687
84,0.6475423
85,0.64902234
86,0.6503245
87,0.65135074
88,0.65203065
89,0.65233016
90,0.6522525
91,0.6518316
92,0.6511238
93,0.650198
94,0.6491282
95,0.64798933
96,0.646854
97,0.6457896
98,0.64485484
99,0.6440956
100,0.64354134
101,0.6432036
102,0.6430759
103,0.64313626
104,0.6433507
105,0.6436771
106,0.64406985
107,0.64448357
108,0.64487785
109,0.6452197
110,0.6454862
111,0.6456645
112,0.64575154
113,0.64575166
114,0.6456746
115,0.64553285
116,0.64534026
117,0.64511096
118,0.6448583
119,0.64459455
120,0.64433056
121,0.6440756
122,0.6438374
123,0.64362216
124,0.64343554
125,0.6432824
126,0.6431669
127,0.64309233
128,0.6430596
129,0.6430673
130,0.64310986
131,0.64317846
132,0.6432611
133,0.64334345
134,0.6434107
135,0.643449
136,0.64344674
137,0.6433962
138,0.6432946
139,0.6431438
140,0.64295125
141,0.6427284
142,0.6424897
143,0.6422508
144,0.6420266
145,0.64182967
146,0.6416684
147,0.64154637
148,0.6414622
149,0.6414095
150,0.6413784
151,0.6413565
152,0.6413309
153,0.6412897
154,0.6412235
155,0.64112645
156,0.64099705
157,0.6408376
158,0.6406537
159,0.6404535
160,0.6402455
161,0.6400384
162,0.6398388
163,0.6396514
164,0.639478
165,0.6393177
166,0.6391673
167,0.63902235
168,0.63887787
169,0.6387289
170,0.63857174
171,0.638404
172,0.63822454
173,0.63803357
174,0.63783234
175,0.63762236
176,0.637405
177,0.63718164
178,0.63695306
