Iteration,Trainloss
0,0.2978807
1,0.29508597
2,0.29249936
3,0.29011166
4,0.28791904
5,0.28591818
6,0.28410465
7,0.28247252
8,0.2810142
9,0.27972028
10,0.27857912
11,0.27757692
12,0.27669722
13,0.27592108
14,0.27522615
15,0.2745864
16,0.2739717
17,0.27334788
18,0.272677
19,0.27191868
20,0.27103066
21,0.26997048
22,0.2686961
23,0.26716715
24,0.26534587
25,0.26319793
26,0.26069373
27,0.25781047
28,0.25453472
29,0.25086686
30,0.24682653
31,0.24245685
32,0.23782624
33,0.2330263
34,0.22816533
35,0.22335452
36,0.21868847
37,0.21423197
38,0.21002081
39,0.20607474
40,0.2024135
41,0.19906725
42,0.19607437
43,0.19346583
44,0.1912399
45,0.1893288
46,0.18758386
47,0.18582729
48,0.18394357
49,0.18192174
50,0.17982946
51,0.17776026
52,0.17578672
53,0.1739373
54,0.17220415
55,0.17057529
56,0.16906483
57,0.16771765
58,0.16658935
59,0.16572022
60,0.16511641
61,0.1647447
62,0.16453958
63,0.16441949
64,0.16430639
65,0.16414244
66,0.16389951
67,0.16357976
68,0.16320875
69,0.16282496
70,0.16246876
71,0.16217344
72,0.1619593
73,0.16183123
74,0.16177876
75,0.16177961
76,0.1618051
77,0.16182743
78,0.16182634
79,0.16179296
80,0.16173007
81,0.16164932
82,0.16156645
83,0.16149588
84,0.16144642
85,0.1614195
86,0.1614101
87,0.16140994
88,0.1614108
89,0.1614068
90,0.16139579
91,0.16137868
92,0.16135797
93,0.16133621
94,0.16131487
95,0.16129416
96,0.16127357
97,0.16125275
98,0.16123213
99,0.16121279
100,0.16119578
101,0.1611815
102,0.16116926
103,0.16115747
104,0.16114429
105,0.16112843
106,0.1611096
107,0.16108868
108,0.16106716
109,0.16104664
110,0.16102809
111,0.16101171
112,0.16099687
113,0.16098255
114,0.16096763
115,0.16095142
116,0.16093372
117,0.16091487
118,0.16089551
119,0.16087629
120,0.16085763
121,0.16083963
122,0.16082206
123,0.1608046
124,0.16078682
125,0.16076854
126,0.16074967
127,0.16073033
128,0.1607107
129,0.1606909
130,0.16067103
131,0.16065104
132,0.16063087
133,0.16061048
134,0.16058983
135,0.16056891
136,0.1605477
137,0.1605262
138,0.1605044
139,0.16048221
140,0.16045965
141,0.16043669
142,0.16041337
143,0.1603897
144,0.16036575
145,0.16034146
146,0.16031677
147,0.16029163
148,0.16026598
149,0.1602398
150,0.16021308
151,0.16018586
152,0.16015811
153,0.16012986
154,0.16010109
155,0.1600717
156,0.1600417
157,0.16001104
158,0.15997969
159,0.15994762
160,0.15991484
161,0.1598813
162,0.15984699
163,0.15981188
164,0.15977591
165,0.15973906
166,0.15970126
167,0.15966247
168,0.15962268
169,0.15958183
170,0.15953988
171,0.15949678
172,0.15945248
173,0.15940692
174,0.15936002
175,0.15931177
176,0.15926208
177,0.15921085
178,0.15915805
179,0.1591036
180,0.15904741
181,0.1589894
182,0.15892948
183,0.15886757
184,0.15880352
185,0.15873727
186,0.1586687
187,0.15859768
188,0.15852413
189,0.15844785
190,0.15836877
191,0.1582867
192,0.15820153
193,0.15811305
194,0.15802114
195,0.15792559
196,0.15782626
197,0.15772289
198,0.15761538
199,0.15750344
200,0.1573869
201,0.1572655
202,0.15713905
203,0.15700734
204,0.15687008
205,0.15672709
206,0.1565781
207,0.15642288
208,0.15626124
209,0.15609293
210,0.15591775
211,0.15573552
212,0.15554608
213,0.1553493
214,0.15514505
215,0.15493327
216,0.15471394
217,0.15448707
218,0.15425274
219,0.15401106
220,0.15376213
221,0.15350616
222,0.1532432
223,0.15297338
224,0.15269664
225,0.1524128
226,0.15212135
227,0.15182148
228,0.15151188
229,0.15119067
230,0.15085551
231,0.15050326
232,0.15013054
233,0.14973342
234,0.14930797
235,0.14885014
236,0.14835608
237,0.14782213
238,0.14724486
239,0.14662075
240,0.14594626
241,0.14521748
242,0.1444303
243,0.14358
244,0.14266138
245,0.1416683
246,0.14059399
247,0.13943057
248,0.13816927
249,0.13680035
250,0.13531306
251,0.13369575
252,0.13193606
253,0.13002126
254,0.12793879
255,0.12567654
256,0.12322314
257,0.12056966
258,0.117711864
259,0.11465312
260,0.111409605
261,0.10801377
262,0.10451917
263,0.10100185
264,0.09759231
265,0.09499537
266,0.098002434
267,0.09664908
268,0.09108573
269,0.09378801
270,0.08751153
271,0.091343954
272,0.08601111
273,0.08837758
274,0.0849998
275,0.08692345
276,0.08369327
277,0.084631026
278,0.08262767
279,0.082117885
280,0.08142713
281,0.080445215
282,0.079733804
283,0.0791412
284,0.07790302
285,0.078400254
286,0.07646245
287,0.077056445
288,0.076620884
289,0.07638286
290,0.07690508
291,0.079034105
292,0.07832405
293,0.07832445
294,0.07686947
295,0.0790236
296,0.07543523
297,0.07652055
298,0.07743701
299,0.084673464
300,0.079660706
301,0.0831842
302,0.07841996
303,0.0868378
304,0.088914186
305,0.0875621
306,0.09298508
307,0.09271473
308,0.101271085
309,0.107413374
310,0.1085585
311,0.114350095
312,0.11286885
313,0.108670704
314,0.10536723
315,0.10079307
316,0.09452592
317,0.09294834
318,0.09047941
319,0.09039579
320,0.09159511
321,0.08975413
322,0.08921768
323,0.08908125
324,0.084950574
325,0.080452256
326,0.07593495
327,0.07598208
328,0.07483312
329,0.07518644
330,0.07553371
331,0.07518
332,0.07646647
333,0.0774778
334,0.07692588
335,0.076269716
336,0.075949654
337,0.07563847
338,0.07457623
339,0.07310307
340,0.072169155
341,0.0721736
342,0.07103973
343,0.070623964
344,0.0708686
345,0.07106915
346,0.070908464
347,0.070740685
348,0.0706324
349,0.07106106
350,0.07034264
351,0.070445746
352,0.07031321
353,0.06954759
354,0.06980696
355,0.06891868
356,0.06954232
357,0.06871439
358,0.06870809
359,0.068350986
360,0.068496294
361,0.06827928
362,0.06807268
363,0.06805361
364,0.06797609
365,0.067716055
366,0.067650616
367,0.0675735
368,0.067518175
369,0.067541994
370,0.06715278
371,0.06740358
372,0.06737157
373,0.06673227
374,0.06691065
375,0.06681797
376,0.06660432
377,0.066979766
378,0.06639569
379,0.06643552
380,0.0663022
381,0.0661699
382,0.06612774
383,0.06607044
384,0.06592907
385,0.06590768
386,0.065743096
387,0.06568441
388,0.06557602
389,0.065452926
390,0.06541014
391,0.06527181
392,0.065246165
393,0.06524107
394,0.06520054
395,0.06514585
396,0.06489336
397,0.06493887
398,0.06519501
399,0.06467634
400,0.06510964
401,0.06485446
402,0.06483278
403,0.06441363
404,0.06456305
405,0.06461017
406,0.06427464
407,0.0641985
408,0.06411725
409,0.06379328
410,0.06455341
411,0.064105175
412,0.0641184
413,0.063974395
414,0.06346388
415,0.06357966
416,0.06380053
417,0.06394896
418,0.06487453
419,0.06410634
420,0.063340016
421,0.06421526
422,0.06337132
423,0.06372005
424,0.062784106
425,0.06378396
426,0.062892556
427,0.06316018
428,0.06366572
429,0.06342967
430,0.06256434
431,0.06229862
432,0.06221553
433,0.06221825
434,0.062268123
435,0.062064134
436,0.06193567
437,0.061684042
438,0.06176445
439,0.06230712
440,0.061295055
441,0.061431386
442,0.06146898
443,0.06123642
444,0.06141828
445,0.0608532
446,0.060585193
447,0.061333746
448,0.06132534
449,0.06145642
450,0.06127442
451,0.0605452
452,0.060681727
453,0.061533824
454,0.060343064
455,0.060762793
456,0.06077015
457,0.06030557
458,0.060460757
459,0.059662376
460,0.059932526
461,0.06127318
462,0.059569567
463,0.060173288
464,0.059923388
465,0.05976325
466,0.058917146
467,0.05904355
468,0.060011476
469,0.05897408
470,0.05961652
471,0.058782056
472,0.058588035
473,0.058403805
474,0.058464702
475,0.05848196
476,0.057867683
477,0.05821048
478,0.057882402
479,0.05880642
480,0.058065385
481,0.057586968
482,0.05997275
483,0.058081284
484,0.05918176
485,0.059649788
486,0.058100767
487,0.05858385
488,0.058327198
489,0.059255492
490,0.057205927
491,0.05717026
492,0.057784192
493,0.056702323
494,0.056742817
495,0.056273185
496,0.056291003
497,0.05633628
498,0.055802595
499,0.05604987
500,0.05535003
501,0.055447273
502,0.05524292
503,0.05502497
504,0.05497279
505,0.05471413
506,0.05453149
507,0.05456958
508,0.05423059
509,0.05424964
510,0.054055117
511,0.053910896
512,0.053748406
513,0.053605847
514,0.053481944
515,0.053314812
516,0.05321071
517,0.053031906
518,0.052932594
519,0.052783407
520,0.052646905
521,0.05255817
522,0.052393608
523,0.052296586
524,0.052164655
525,0.052019093
526,0.05192035
527,0.0517748
528,0.05166697
529,0.051545784
530,0.051420324
531,0.051314272
532,0.051181544
533,0.051081598
534,0.050966516
535,0.050856855
536,0.050754957
537,0.0506432
538,0.050544597
539,0.05043549
540,0.05033499
541,0.0502346
542,0.050137267
543,0.05004013
544,0.049944714
545,0.04985115
546,0.049759224
547,0.049670234
548,0.04957998
549,0.04949282
550,0.049404535
551,0.049318362
552,0.049233712
553,0.049149297
554,0.04906752
555,0.048985627
556,0.048905145
557,0.048825495
558,0.048745915
559,0.04866766
560,0.04858999
561,0.048513237
562,0.04843824
563,0.04836532
564,0.04829693
565,0.04823892
566,0.04820278
567,0.048226308
568,0.04837985
569,0.048914008
570,0.050082684
571,0.052774295
572,0.05378794
573,0.051928107
574,0.047898106
575,0.049309812
576,0.05164229
577,0.04852502
578,0.048294924
579,0.05023831
580,0.04806211
581,0.048089806
582,0.0490458
583,0.047379155
584,0.048153255
585,0.048260197
586,0.047223862
587,0.04795028
588,0.047601067
589,0.04711324
590,0.04763779
591,0.04710284
592,0.046935115
593,0.047291823
594,0.046765275
595,0.04676342
596,0.046988662
597,0.0465071
598,0.04653439
599,0.04671292
600,0.046323556
601,0.046358883
602,0.046476066
603,0.04619015
604,0.04617276
605,0.046247043
606,0.046056904
607,0.045996264
608,0.046057962
609,0.045938406
610,0.045841705
611,0.04588656
612,0.04581829
613,0.045703962
614,0.045720115
615,0.04568735
616,0.04557571
617,0.045550443
618,0.045523938
619,0.04542306
620,0.04537674
621,0.04535072
622,0.045282416
623,0.045235764
624,0.045216765
625,0.04515455
626,0.045104824
627,0.045076765
628,0.04502994
629,0.044982478
630,0.04496056
631,0.0449261
632,0.044880897
633,0.04485111
634,0.044818535
635,0.044774994
636,0.044741806
637,0.044714607
638,0.044677943
639,0.044642292
640,0.044613928
641,0.044582613
642,0.04454837
643,0.04452074
644,0.044495206
645,0.044464953
646,0.04443514
647,0.04440891
648,0.04438177
649,0.044352934
650,0.044326503
651,0.044301674
652,0.044274986
653,0.044247672
654,0.04422206
655,0.04419735
656,0.04417181
657,0.04414621
658,0.04412205
659,0.04409801
660,0.044073135
661,0.044048823
662,0.04402548
663,0.044002086
664,0.043978214
665,0.043954514
666,0.043931432
667,0.043908447
668,0.04388532
669,0.04386241
670,0.043839935
671,0.043817554
672,0.04379502
673,0.043772608
674,0.04375056
675,0.04372868
676,0.043706737
677,0.04368483
678,0.043663144
679,0.043641627
680,0.04362016
681,0.043598726
682,0.04357741
683,0.043556258
684,0.04353518
685,0.043514132
686,0.043493174
687,0.043472357
688,0.043451656
689,0.043431
690,0.043410398
691,0.043389894
692,0.043369506
693,0.043349206
694,0.04332896
695,0.04330877
696,0.043288667
697,0.043268662
698,0.04324872
699,0.043228853
700,0.04320904
701,0.04318931
702,0.043169644
703,0.04315007
704,0.043130547
705,0.04311108
706,0.04309169
707,0.04307235
708,0.04305309
709,0.043033887
710,0.043014746
711,0.04299565
712,0.042976618
713,0.042957652
714,0.04293874
715,0.04291987
716,0.04290107
717,0.042882312
718,0.042863615
719,0.042844966
720,0.042826362
721,0.04280781
722,0.042789303
723,0.042770855
724,0.04275244
725,0.04273407
726,0.042715743
727,0.042697463
728,0.04267923
729,0.04266103
730,0.042642873
731,0.042624757
732,0.042606667
733,0.042588633
734,0.04257063
735,0.042552657
736,0.042534716
737,0.042516813
738,0.04249895
739,0.042481113
740,0.042463303
741,0.04244553
742,0.04242779
743,0.04241007
744,0.04239238
745,0.042374723
746,0.042357087
747,0.04233948
748,0.04232189
749,0.042304337
750,0.042286795
751,0.04226929
752,0.042251803
753,0.042234324
754,0.04221688
755,0.04219945
756,0.042182043
757,0.042164654
758,0.042147286
759,0.04212993
760,0.042112596
761,0.04209528
762,0.042077973
763,0.042060684
764,0.042043418
765,0.04202617
766,0.042008944
767,0.041991748
768,0.041974597
769,0.041957512
770,0.04194057
771,0.041923895
772,0.041907784
773,0.04189285
774,0.041880496
775,0.04187385
776,0.04188022
777,0.041916
778,0.04202084
779,0.042278945
780,0.042887997
781,0.044123102
