Iteration,Trainloss
0,0.2978807
1,0.29508597
2,0.29249933
3,0.29011166
4,0.287919
5,0.28591818
6,0.28410465
7,0.28247252
8,0.2810142
9,0.27972028
10,0.27857912
11,0.2775769
12,0.27669728
13,0.2759211
14,0.2752262
15,0.2745865
16,0.27397186
17,0.27334803
18,0.2726773
19,0.27191907
20,0.2710312
21,0.26997116
22,0.268697
23,0.2671684
24,0.26534754
25,0.26320016
26,0.2606968
27,0.25781474
28,0.25454074
29,0.25087562
30,0.24683952
31,0.24247643
32,0.2378558
33,0.23307027
34,0.22822855
35,0.22343913
36,0.21878666
37,0.21431202
38,0.21000737
39,0.205832
40,0.20175034
41,0.19778474
42,0.19405536
43,0.19075426
44,0.18803155
45,0.18586949
46,0.18407434
47,0.18240768
48,0.18070854
49,0.17890386
50,0.17695807
51,0.17485343
52,0.17262161
53,0.17036813
54,0.16823459
55,0.16631395
56,0.16460285
57,0.16305298
58,0.16166893
59,0.1605334
60,0.15972471
61,0.15921986
62,0.15888776
63,0.15856527
64,0.15813562
65,0.1575596
66,0.15686604
67,0.15612409
68,0.1554063
69,0.15474786
70,0.15412901
71,0.1535178
72,0.15293343
73,0.15243833
74,0.15207362
75,0.15182614
76,0.15164785
77,0.15149294
78,0.15134034
79,0.15119371
80,0.15106492
81,0.15095538
82,0.1508504
83,0.15073174
84,0.15059616
85,0.15045823
86,0.15033676
87,0.15024157
88,0.15017177
89,0.15012094
90,0.1500827
91,0.15005311
92,0.15003037
93,0.15001325
94,0.14999977
95,0.14998649
96,0.14996953
97,0.1499461
98,0.14991583
99,0.1498811
100,0.14984575
101,0.14981337
102,0.14978594
103,0.14976345
104,0.14974436
105,0.14972664
106,0.14970839
107,0.1496885
108,0.14966653
109,0.14964238
110,0.14961599
111,0.14958727
112,0.14955632
113,0.14952363
114,0.14949
115,0.14945626
116,0.14942293
117,0.14938985
118,0.14935635
119,0.1493216
120,0.14928487
121,0.14924592
122,0.1492048
123,0.14916186
124,0.14911732
125,0.14907132
126,0.14902389
127,0.14897506
128,0.14892481
129,0.14887314
130,0.14881985
131,0.14876463
132,0.14870703
133,0.14864683
134,0.148584
135,0.1485185
136,0.14845055
137,0.14838013
138,0.14830698
139,0.14823094
140,0.14815176
141,0.1480692
142,0.14798309
143,0.14789313
144,0.14779912
145,0.14770083
146,0.1475982
147,0.14749105
148,0.14737919
149,0.1472623
150,0.14714001
151,0.14701198
152,0.14687793
153,0.14673753
154,0.14659059
155,0.14643675
156,0.14627579
157,0.14610738
158,0.14593114
159,0.14574675
160,0.1455539
161,0.14535233
162,0.14514181
163,0.14492217
164,0.14469308
165,0.1444544
166,0.14420591
167,0.14394756
168,0.14367934
169,0.1434013
170,0.14311358
171,0.14281626
172,0.14250945
173,0.1421933
174,0.14186795
175,0.14153357
176,0.14119008
177,0.14083748
178,0.14047569
179,0.1401047
180,0.1397244
181,0.13933477
182,0.13893566
183,0.1385269
184,0.13810815
185,0.1376788
186,0.13723798
187,0.1367846
188,0.13631701
189,0.1358332
190,0.13533074
191,0.13480675
192,0.13425794
193,0.1336809
194,0.13307206
195,0.13242774
196,0.13174386
197,0.13101605
198,0.13023956
199,0.12940937
200,0.12851974
201,0.12756392
202,0.12653403
203,0.12542099
204,0.12421426
205,0.12290156
206,0.121468954
207,0.119901106
208,0.11818139
209,0.11629279
210,0.11421926
211,0.111947894
212,0.1094724
213,0.106798045
214,0.10394752
215,0.10096757
216,0.09793346
217,0.09494686
218,0.09211905
219,0.08953115
220,0.08717547
221,0.08491882
222,0.08266944
223,0.082420595
224,0.0831873
225,0.07605623
226,0.078799225
227,0.071017526
228,0.07251855
229,0.06879255
230,0.06688486
231,0.066715255
232,0.06346158
233,0.06429945
234,0.061684422
235,0.061210033
236,0.060375392
237,0.058837432
238,0.059048384
239,0.05721367
240,0.05759922
241,0.056247264
242,0.056092087
243,0.055556916
244,0.0547518
245,0.054530535
246,0.053672165
247,0.0532926
248,0.052536637
249,0.05214402
250,0.051357754
251,0.051047344
252,0.050352573
253,0.050019667
254,0.049437054
255,0.049169026
256,0.048571683
257,0.048377503
258,0.047850788
259,0.047583222
260,0.04718842
261,0.04686175
262,0.046501327
263,0.046183027
264,0.04582441
265,0.045513675
266,0.045139015
267,0.044863425
268,0.044466276
269,0.04421975
270,0.04384434
271,0.043595
272,0.043274328
273,0.043017372
274,0.042745203
275,0.042496853
276,0.04224067
277,0.04202319
278,0.04176439
279,0.04156558
280,0.041325465
281,0.0411137
282,0.04090319
283,0.040692206
284,0.040475804
285,0.040287826
286,0.040072612
287,0.03987629
288,0.039680265
289,0.039487105
290,0.039286785
291,0.03909582
292,0.03891118
293,0.038718067
294,0.038529053
295,0.038339324
296,0.038158417
297,0.03797137
298,0.03778506
299,0.037596144
300,0.03740779
301,0.03722275
302,0.03703618
303,0.036853585
304,0.03666982
305,0.036490053
306,0.036316924
307,0.03615947
308,0.03604305
309,0.03603181
310,0.036137924
311,0.036331333
312,0.035818715
313,0.035156667
314,0.03489783
315,0.03507488
316,0.03505678
317,0.034476537
318,0.03417214
319,0.034257635
320,0.03414979
321,0.03377811
322,0.033450633
323,0.033424728
324,0.033415984
325,0.03311041
326,0.032778773
327,0.03260328
328,0.03255543
329,0.032467797
330,0.032197237
331,0.031913422
332,0.031718012
333,0.031611342
334,0.03151687
335,0.031329602
336,0.031092841
337,0.030858807
338,0.030686157
339,0.030558642
340,0.030425038
341,0.030265711
342,0.030059319
343,0.029850457
344,0.029658379
345,0.029491296
346,0.02934201
347,0.029197847
348,0.029056877
349,0.028901316
350,0.028743256
351,0.028566398
352,0.028392669
353,0.02820977
354,0.028031966
355,0.02785473
356,0.027684039
357,0.027517414
358,0.0273543
359,0.027192933
360,0.027033037
361,0.026874315
362,0.026716925
363,0.026560575
364,0.026405184
365,0.026250808
366,0.026098099
367,0.025949027
368,0.025808489
369,0.025693048
370,0.025640849
371,0.025791919
372,0.026186902
373,0.0270289
374,0.025880598
375,0.024851244
376,0.02492948
377,0.025313511
378,0.02497519
379,0.02427789
380,0.02461351
381,0.024732789
382,0.023896888
383,0.024022693
384,0.024276942
385,0.023537252
386,0.023481073
387,0.023784176
388,0.023206983
389,0.023012452
390,0.023220327
391,0.02279859
392,0.022583285
393,0.022692181
394,0.022393152
395,0.022192042
396,0.022207059
397,0.021999989
398,0.021800516
399,0.021771254
400,0.021628711
401,0.021434337
402,0.021343514
403,0.021249764
404,0.021086987
405,0.020955482
406,0.020874258
407,0.02075105
408,0.020595787
409,0.020494621
410,0.020404726
411,0.020267088
412,0.020142028
413,0.020048989
414,0.019940827
415,0.019814435
416,0.01970504
417,0.019612907
418,0.019509902
419,0.019393183
420,0.01928906
421,0.019197222
422,0.01909892
423,0.018994268
424,0.018895436
425,0.018805753
426,0.018715464
427,0.018619006
428,0.018524185
429,0.018436696
430,0.018352708
431,0.018266864
432,0.018178474
433,0.018092748
434,0.01801153
435,0.017932683
436,0.017853448
437,0.017773228
438,0.017694145
439,0.017617822
440,0.017544014
441,0.017471291
442,0.017398465
443,0.01732582
444,0.017254071
445,0.017183851
446,0.017115198
447,0.0170476
448,0.016980747
449,0.01691435
450,0.01684873
451,0.016783869
452,0.01671986
453,0.016656447
454,0.016593473
455,0.016530916
456,0.016468888
457,0.016407574
458,0.016347468
459,0.016288629
460,0.016232846
461,0.016180554
462,0.016140413
463,0.016112503
464,0.016136616
465,0.016176702
466,0.016381701
467,0.01633335
468,0.016386958
469,0.015904805
470,0.015623292
471,0.015605123
472,0.015721155
473,0.015820703
474,0.015530456
475,0.015305982
476,0.015219371
477,0.015262149
478,0.015341848
479,0.015187876
480,0.015019612
481,0.014857809
482,0.014805073
483,0.014801152
484,0.01474457
485,0.014671253
486,0.01450971
487,0.014419872
488,0.014366364
489,0.014346423
490,0.014314321
491,0.014186548
492,0.014119362
493,0.013960835
494,0.013923577
495,0.013890635
496,0.013835782
497,0.013849095
498,0.013635658
499,0.013584884
500,0.07800979
501,0.6414168
502,1.3900338
503,0.2959298
504,0.24991244
505,0.21908121
506,4.5825605
507,0.23596244
508,0.25045335
509,0.285682
510,0.3102154
511,8.162683
512,1.0437875
513,1.0234381
514,0.90984625
515,1.0804415
516,0.89581335
517,0.8004694
518,0.8104166
519,1.0443493
520,0.75206727
521,0.9120102
522,0.61850166
523,0.5760242
524,0.54886574
525,0.5362276
526,0.6397726
527,0.6143949
528,0.812245
529,0.5842288
530,0.5759701
531,0.6644165
532,0.7383734
533,0.77442837
534,0.7641503
535,0.71726924
536,0.61586225
537,0.6209868
538,0.65260637
539,0.6513866
540,0.63659763
541,0.6067774
542,0.57350606
543,0.56618065
544,0.5713411
545,0.57543015
546,0.5687525
547,0.5501702
548,0.5244135
549,0.5106785
550,0.5085897
551,0.5017798
552,0.49190375
553,0.48825198
554,0.49125665
555,0.4939069
556,0.49138522
557,0.4863193
558,0.48234385
559,0.47987607
560,0.47811678
561,0.4762155
562,0.47354752
563,0.47032106
564,0.4674784
565,0.46581304
566,0.46539956
567,0.46569365
568,0.46595332
569,0.4656996
570,0.46493763
571,0.46402118
572,0.4633493
573,0.46307692
574,0.46296087
575,0.46255136
576,0.46165067
577,0.4604964
578,0.45945823
579,0.45869732
580,0.45813656
581,0.4576186
582,0.45703912
583,0.4563925
584,0.4557478
585,0.4551919
586,0.4547743
587,0.4544804
588,0.4542429
589,0.45398465
590,0.45366758
591,0.45330712
592,0.45294482
593,0.45261118
594,0.45230785
595,0.45201504
596,0.4517095
597,0.45137993
598,0.4510322
599,0.4506843
600,0.45035583
601,0.45005658
602,0.4497815
603,0.44951582
604,0.4492459
605,0.4489694
606,0.44869375
607,0.4484282
608,0.44817555
609,0.44793066
610,0.4476852
611,0.4474336
612,0.44717568
613,0.4469161
614,0.44665977
615,0.44640878
616,0.44616178
617,0.44591537
618,0.44566777
619,0.4454197
620,0.4451739
621,0.4449326
622,0.44469652
623,0.44446412
624,0.4442334
625,0.44400337
626,0.44377407
627,0.44354632
628,0.44332096
629,0.4430983
630,0.44287744
631,0.44265738
632,0.44243762
633,0.44221842
634,0.44200033
635,0.4417837
636,0.44156885
637,0.4413554
638,0.441143
639,0.4409315
640,0.44072086
641,0.44051167
642,0.44030395
643,0.44009766
644,0.43989268
645,0.43968868
646,0.43948558
647,0.4392834
648,0.4390824
649,0.43888256
650,0.43868375
651,0.438486
652,0.4382892
653,0.43809313
654,0.4378981
655,0.43770406
656,0.437511
657,0.43731907
658,0.43712798
659,0.43693775
660,0.43674853
661,0.43656018
662,0.43637273
663,0.43618634
664,0.4360008
665,0.4358161
666,0.43563226
667,0.43544924
668,0.43526712
669,0.43508583
670,0.43490538
671,0.4347258
672,0.4345469
673,0.43436885
674,0.43419155
675,0.43401518
676,0.43383944
677,0.43366456
678,0.43349043
679,0.433317
680,0.4331444
681,0.43297252
682,0.4328014
683,0.432631
684,0.4324613
685,0.43229228
686,0.43212405
687,0.43195644
688,0.4317896
689,0.43162343
690,0.4314579
691,0.43129313
692,0.43112895
693,0.43096545
694,0.4308027
695,0.4306405
696,0.43047896
697,0.43031806
698,0.4301578
699,0.42999816
700,0.42983922
701,0.4296809
702,0.42952308
703,0.42936593
704,0.42920938
705,0.42905346
706,0.42889804
707,0.42874327
708,0.4285891
709,0.42843553
710,0.4282824
711,0.4281299
712,0.42797807
713,0.42782667
714,0.42767584
715,0.42752555
716,0.42737576
717,0.4272267
718,0.42707792
719,0.4269298
720,0.42678216
721,0.42663512
722,0.42648852
723,0.4263424
724,0.4261968
725,0.42605177
726,0.42590716
727,0.4257631
728,0.42561945
729,0.4254763
730,0.42533368
731,0.42519152
732,0.4250498
733,0.42490858
734,0.4247678
735,0.42462745
736,0.42448756
737,0.42434812
738,0.4242092
739,0.42407063
740,0.42393255
741,0.42379484
742,0.42365766
743,0.42352077
744,0.42338446
745,0.42324844
746,0.42311284
747,0.4229777
748,0.4228429
749,0.42270857
750,0.42257467
751,0.422441
752,0.42230785
753,0.4221751
754,0.42204267
755,0.4219106
756,0.421779
757,0.4216477
758,0.42151684
759,0.4213862
760,0.4212561
761,0.42112628
762,0.4209968
763,0.4208676
764,0.4207389
765,0.42061046
766,0.42048237
767,0.42035466
768,0.4202272
769,0.4201001
770,0.41997334
771,0.41984692
772,0.4197208
773,0.41959503
774,0.4194695
775,0.4193443
776,0.41921946
777,0.41909483
778,0.41897067
779,0.41884667
780,0.41872293
781,0.41859955
782,0.41847643
